                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.7192,                 1.3552,                 1.9094,                0.78706,                0.56878,                0.75125,                0.34653,                 1.9339,                  1.881,                 2.2855,               0.006733,               0.006733,               0.006733
                     35,                 1.7142,                 1.2795,                 1.8545,                0.66942,                0.74359,                0.74902,                0.40477,                 1.7479,                 1.5414,                 2.1411,               0.006634,               0.006634,               0.006634
                     36,                 1.7404,                 1.2808,                 1.8743,                0.85331,                0.71795,                0.81711,                0.41184,                 1.7517,                  1.475,                 2.1067,               0.006535,               0.006535,               0.006535
                     37,                 1.6383,                  1.199,                 1.8644,                0.90112,                 0.7012,                0.76585,                0.38871,                 1.8952,                 1.4944,                 2.1922,               0.006436,               0.006436,               0.006436
                     38,                 1.6683,                 1.2466,                 1.9146,                0.79251,                0.53846,                0.70807,                0.37724,                 1.8386,                   1.56,                 2.1639,               0.006337,               0.006337,               0.006337
                     39,                 1.7239,                 1.2605,                 1.9047,                0.78423,                0.76923,                0.78388,                0.40116,                 1.6917,                 1.5537,                 2.0593,               0.006238,               0.006238,               0.006238
                     40,                 1.5277,                 1.1451,                 1.7313,                0.75216,                0.77832,                0.79369,                0.42229,                  1.752,                 1.6555,                 2.1305,               0.006139,               0.006139,               0.006139
                     41,                 1.5782,                 1.1591,                  1.681,                 0.7729,                0.69823,                0.77147,                0.40973,                 1.6624,                 1.7423,                  1.992,                0.00604,                0.00604,                0.00604
                     42,                 1.5059,                 1.1019,                 1.6547,                0.87798,                0.66667,                0.80614,                 0.4482,                 1.7079,                 1.4246,                  2.068,               0.005941,               0.005941,               0.005941
                     43,                 1.5224,                  1.139,                 1.6949,                0.81072,                0.74359,                0.77735,                0.41573,                 1.8061,                 1.5371,                 2.2281,               0.005842,               0.005842,               0.005842
                     44,                 1.5631,                 1.1006,                 1.7114,                0.82157,                0.74359,                0.77119,                 0.4166,                 1.6885,                  1.487,                 2.0576,               0.005743,               0.005743,               0.005743
                     45,                 1.4957,                    1.1,                 1.6957,                0.83864,                0.71795,                0.78831,                0.42917,                 1.7508,                 1.5396,                 2.0918,               0.005644,               0.005644,               0.005644
                     46,                 1.4737,                 1.0811,                 1.6284,                 0.8886,                0.71795,                0.80409,                0.40284,                 2.0316,                 1.5086,                 2.3321,               0.005545,               0.005545,               0.005545
                     47,                 1.4617,                 1.1009,                 1.6826,                0.74135,                0.73509,                0.75929,                0.40676,                 1.9722,                 1.4575,                 2.2692,               0.005446,               0.005446,               0.005446
                     48,                 1.4615,                 1.0022,                 1.6183,                0.78123,                0.84615,                0.83771,                0.44769,                 1.6564,                 1.2528,                 1.9694,               0.005347,               0.005347,               0.005347
                     49,                 1.4807,                 1.0569,                 1.6497,                0.87481,                0.76923,                0.84014,                0.47566,                 1.7255,                 1.2878,                 2.1225,               0.005248,               0.005248,               0.005248
                     50,                 1.4777,                 1.0171,                 1.6935,                0.58684,                0.66667,                0.54302,                0.17383,                 2.3807,                 1.5818,                 2.5077,               0.005149,               0.005149,               0.005149
                     51,                 1.5101,                 1.1554,                 1.6457,                 0.7929,                0.79487,                0.82773,                 0.4704,                 1.6336,                 1.3344,                 2.1218,                0.00505,                0.00505,                0.00505
                     52,                 1.3486,                0.96413,                  1.548,                0.84295,                0.84615,                0.89644,                0.50656,                 1.5996,                 1.1386,                 1.8634,               0.004951,               0.004951,               0.004951
                     53,                 1.3273,                0.93984,                 1.5325,                0.88605,                0.84615,                 0.8997,                0.49477,                 1.7569,                 1.1776,                 2.0443,               0.004852,               0.004852,               0.004852
                     54,                 1.3535,                0.95896,                 1.5608,                0.82544,                0.79487,                0.87646,                0.49924,                 1.6982,                 1.1171,                 1.9517,               0.004753,               0.004753,               0.004753
                     55,                 1.2876,                0.93303,                  1.491,                0.85165,                0.79487,                0.82872,                0.46871,                 1.5915,                 1.2775,                 1.9449,               0.004654,               0.004654,               0.004654
                     56,                 1.3143,                0.94673,                 1.5743,                0.81751,                0.84615,                0.89594,                0.53607,                 1.4532,                 1.1867,                 1.8329,               0.004555,               0.004555,               0.004555
                     57,                 1.3367,                0.96204,                 1.5982,                0.75837,                0.87179,                0.84071,                 0.4737,                 1.5875,                  1.244,                 1.8751,               0.004456,               0.004456,               0.004456
                     58,                 1.3575,                0.98195,                 1.5506,                0.89709,                0.84615,                0.92282,                 0.5359,                 1.5118,                 1.0494,                  1.811,               0.004357,               0.004357,               0.004357
                     59,                 1.3876,                0.96179,                 1.5318,                0.87571,                0.84615,                0.92524,                0.51576,                 1.5388,                   1.09,                 1.8078,               0.004258,               0.004258,               0.004258
                     60,                 1.2402,                0.86257,                 1.4323,                0.82994,                0.87603,                0.93797,                0.53258,                 1.5863,                0.99216,                 1.8442,               0.004159,               0.004159,               0.004159
                     61,                 1.2407,                0.89582,                 1.4845,                0.90861,                0.76488,                 0.9017,                0.54386,                 1.4881,                 1.0674,                 1.7732,                0.00406,                0.00406,                0.00406
                     62,                 1.2908,                0.89838,                 1.5162,                0.86675,                0.87179,                0.91756,                0.55512,                 1.5195,                 1.0157,                 1.8233,               0.003961,               0.003961,               0.003961
                     63,                 1.2832,                0.89361,                 1.5372,                0.89557,                0.87972,                0.89678,                0.55025,                 1.3309,                  1.009,                 1.6654,               0.003862,               0.003862,               0.003862
                     64,                 1.2977,                0.88247,                 1.4767,                0.87496,                0.89713,                0.89898,                0.54679,                 1.3006,                 1.0723,                 1.6987,               0.003763,               0.003763,               0.003763
                     65,                 1.2045,                 0.8573,                 1.5073,                0.87119,                0.86722,                0.92913,                0.53619,                 1.4713,                 1.1943,                 1.8082,               0.003664,               0.003664,               0.003664
                     66,                 1.2114,                0.81221,                 1.4268,                0.95031,                0.87179,                0.92377,                0.53338,                 1.4702,                 1.1216,                 1.8214,               0.003565,               0.003565,               0.003565
                     67,                 1.2047,                0.79171,                 1.4466,                0.92796,                0.79487,                0.89702,                0.51849,                  1.473,                 1.0904,                 1.8516,               0.003466,               0.003466,               0.003466
                     68,                  1.209,                0.82888,                 1.4351,                0.91598,                0.89744,                0.90497,                0.54047,                 1.3391,                 1.0327,                 1.6902,               0.003367,               0.003367,               0.003367
                     69,                 1.2126,                0.84182,                 1.4373,                0.84508,                0.87179,                0.88816,                0.55256,                 1.2419,                 1.1384,                 1.6597,               0.003268,               0.003268,               0.003268
                     70,                 1.1406,                 0.8103,                 1.4238,                0.88777,                0.81146,                0.89568,                0.54492,                 1.3537,                 1.0269,                 1.7702,               0.003169,               0.003169,               0.003169
                     71,                 1.1641,                0.82801,                 1.4545,                0.93839,                0.79487,                0.91403,                0.56875,                 1.3892,                 1.1108,                 1.7379,                0.00307,                0.00307,                0.00307
                     72,                 1.1915,                0.84457,                 1.4298,                 0.9406,                0.82051,                0.92426,                0.58215,                 1.4645,                 1.0267,                   1.73,               0.002971,               0.002971,               0.002971
                     73,                 1.2555,                 1.0027,                 1.5034,                0.96441,                0.84615,                0.94426,                0.57645,                 1.3896,                 1.0333,                 1.7013,               0.002872,               0.002872,               0.002872
                     74,                 1.1832,                 0.8176,                  1.396,                      1,                0.79015,                0.94137,                0.55636,                 1.3568,                   1.01,                  1.704,               0.002773,               0.002773,               0.002773
                     75,                 1.1421,                0.80349,                 1.3685,                0.92311,                0.76923,                0.88501,                0.56379,                 1.3025,                 1.0659,                 1.7001,               0.002674,               0.002674,               0.002674
                     76,                 1.1031,                 0.8172,                 1.3504,                0.93589,                0.84615,                0.92798,                0.57241,                 1.3733,                 1.1007,                 1.7401,               0.002575,               0.002575,               0.002575
                     77,                 1.1758,                0.81717,                 1.3917,                0.93621,                0.79487,                0.89965,                0.56797,                 1.3767,                 1.1643,                 1.6987,               0.002476,               0.002476,               0.002476
                     78,                 1.1636,                0.77858,                 1.3768,                0.91808,                0.84615,                0.91775,                0.56284,                 1.3546,                 1.0305,                 1.6443,               0.002377,               0.002377,               0.002377
                     79,                 1.1331,                0.78341,                 1.3522,                0.99706,                0.82051,                0.93358,                0.58032,                 1.3241,                0.95719,                 1.6223,               0.002278,               0.002278,               0.002278
                     80,                 1.0272,                0.72109,                 1.2703,                0.87341,                0.84615,                0.89227,                0.56264,                 1.4427,                 1.0825,                 1.7094,               0.002179,               0.002179,               0.002179
                     81,                 1.1229,                0.76541,                 1.4332,                0.86505,                0.82183,                0.88713,                0.43566,                 1.7003,                  1.255,                 1.8884,                0.00208,                0.00208,                0.00208
                     82,                 1.1262,                0.77119,                   1.39,                0.85353,                0.89744,                0.93384,                0.58143,                 1.3387,                0.97866,                 1.6433,               0.001981,               0.001981,               0.001981
                     83,                  1.078,                0.73393,                 1.3576,                0.89429,                0.87179,                0.93404,                0.57668,                 1.3032,                  1.013,                 1.6542,               0.001882,               0.001882,               0.001882
                     84,                 1.0669,                 0.7622,                 1.3878,                0.91839,                0.86581,                0.93591,                0.57347,                 1.4611,                0.98146,                 1.8586,               0.001783,               0.001783,               0.001783
                     85,                 1.0706,                0.76839,                 1.4168,                0.89447,                0.86938,                0.93246,                0.57268,                  1.377,                 1.0844,                 1.7785,               0.001684,               0.001684,               0.001684
                     86,                 1.0768,                 0.7971,                 1.3491,                0.89193,                0.84653,                0.91994,                0.55743,                 1.4192,                 1.1157,                 1.7902,               0.001585,               0.001585,               0.001585
                     87,                 1.0392,                0.75118,                 1.3101,                0.85246,                0.88901,                 0.9182,                0.54576,                 1.3715,                 1.1034,                 1.7049,               0.001486,               0.001486,               0.001486
                     88,                 1.0357,                0.79848,                  1.333,                0.88576,                0.87179,                0.90294,                0.57363,                 1.3217,                 1.0424,                  1.677,               0.001387,               0.001387,               0.001387
                     89,                 1.0157,                0.70666,                 1.3227,                0.97128,                0.86717,                0.92118,                0.56062,                 1.4303,                0.98519,                 1.7937,               0.001288,               0.001288,               0.001288
                     90,                0.99473,                0.68009,                 1.3039,                0.88617,                0.87179,                0.91525,                 0.5352,                 1.4974,                 1.0544,                 1.8018,               0.001189,               0.001189,               0.001189
                     91,                0.99934,                0.71079,                 1.3448,                0.93746,                0.84615,                0.92873,                0.59967,                 1.3029,                0.91171,                 1.6232,                0.00109,                0.00109,                0.00109
                     92,                0.95015,                0.65001,                 1.2823,                0.94061,                0.81231,                 0.9141,                0.59407,                  1.315,                0.95889,                  1.571,               0.000991,               0.000991,               0.000991
                     93,                0.95859,                0.66849,                 1.2814,                 0.9115,                 0.7923,                0.90244,                 0.5808,                 1.3616,                 1.0626,                 1.6009,               0.000892,               0.000892,               0.000892
                     94,                0.93972,                0.65789,                 1.2796,                 0.9117,                0.79429,                0.90636,                0.57251,                 1.3147,                 1.0151,                 1.5754,               0.000793,               0.000793,               0.000793
                     95,                0.91818,                0.66506,                 1.2935,                0.89092,                0.83787,                0.89969,                 0.5822,                 1.3643,                 1.0404,                 1.6121,               0.000694,               0.000694,               0.000694
                     96,                0.93035,                 0.6385,                 1.2382,                0.93214,                0.79487,                0.92782,                0.60202,                  1.361,                0.95436,                 1.6445,               0.000595,               0.000595,               0.000595
                     97,                0.90552,                0.62446,                 1.2697,                0.90039,                0.82051,                0.94002,                0.59065,                  1.403,                0.94696,                 1.6555,               0.000496,               0.000496,               0.000496
                     98,                0.90216,                0.63627,                 1.2591,                0.89355,                0.86106,                0.94149,                0.59415,                  1.385,                  0.956,                 1.6434,               0.000397,               0.000397,               0.000397
                     99,                 0.9422,                0.65001,                 1.2628,                0.88902,                0.87179,                0.93048,                0.60584,                 1.3363,                0.97847,                 1.6146,               0.000298,               0.000298,               0.000298
