                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.7175,                 1.2892,                 1.9277,                0.60058,                0.77113,                0.71804,                0.35303,                 2.0381,                 1.8126,                 2.4639,               0.003466,               0.003466,               0.003466
                     35,                 1.7169,                 1.2409,                 1.8585,                0.65578,                0.69231,                0.75079,                0.36783,                 1.9172,                 1.5237,                 2.1838,               0.003268,               0.003268,               0.003268
                     36,                 1.7351,                 1.3029,                 1.8672,                0.71895,                0.84615,                0.83548,                0.43723,                  1.861,                 1.4213,                 2.2231,                0.00307,                0.00307,                0.00307
                     37,                 1.5876,                 1.2121,                 1.8403,                 0.8281,                0.74118,                 0.8192,                0.46415,                  1.804,                 1.3573,                 2.1407,               0.002872,               0.002872,               0.002872
                     38,                 1.6476,                 1.2175,                  1.899,                0.82167,                0.82711,                0.86011,                0.43039,                 1.9526,                 1.3971,                   2.25,               0.002674,               0.002674,               0.002674
                     39,                 1.7039,                 1.2347,                 1.8972,                0.82149,                0.74359,                0.83223,                0.41946,                 1.7457,                 1.4828,                  2.031,               0.002476,               0.002476,               0.002476
                     40,                 1.4608,                 1.1116,                 1.7621,                0.75587,                0.79391,                0.82339,                  0.455,                  1.703,                 1.4516,                  2.009,               0.002278,               0.002278,               0.002278
                     41,                 1.4967,                 1.0704,                 1.7334,                0.87667,                0.71795,                0.85968,                0.47442,                 1.7829,                 1.4978,                 2.0625,                0.00208,                0.00208,                0.00208
                     42,                 1.3757,                 1.0372,                 1.6773,                0.97718,                0.76923,                0.87823,                0.46422,                 1.8687,                 1.4421,                 2.0927,               0.001882,               0.001882,               0.001882
                     43,                 1.4169,                 1.0644,                 1.6985,                0.89537,                0.74359,                0.87187,                0.48792,                 1.7822,                 1.3615,                 2.0356,               0.001684,               0.001684,               0.001684
                     44,                 1.3966,                 1.0462,                 1.6826,                0.88428,                0.84615,                0.87866,                0.46693,                 1.8012,                  1.373,                 2.0622,               0.001486,               0.001486,               0.001486
                     45,                 1.4034,                 1.0374,                 1.6821,                0.91018,                0.84615,                0.87136,                0.48901,                 1.7859,                 1.3656,                 2.0629,               0.001288,               0.001288,               0.001288
                     46,                 1.3276,                 1.0002,                 1.6335,                0.81434,                0.82051,                0.87718,                 0.4719,                 1.7496,                  1.297,                 2.0498,                0.00109,                0.00109,                0.00109
                     47,                 1.3024,                0.96258,                 1.6081,                0.96856,                0.79011,                0.88948,                0.50317,                 1.7061,                 1.2565,                  2.018,               0.000892,               0.000892,               0.000892
                     48,                 1.3312,                 0.9319,                 1.6204,                 0.9536,                0.84615,                0.90809,                0.51265,                 1.7157,                 1.2007,                 2.0649,               0.000694,               0.000694,               0.000694
                     49,                 1.3615,                0.94883,                 1.5875,                0.96411,                0.84615,                0.90512,                0.51084,                 1.7355,                 1.2197,                 2.0318,               0.000496,               0.000496,               0.000496
