                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.6578,                 6.4069,                 4.3905,                0.00026,                0.07692,                0.00016,                  4e-05,                 4.3249,                 5.6863,                 4.1436,                 0.0865,                 0.0015,                 0.0015
                      1,                 4.4079,                  5.168,                 4.3729,                0.00026,                0.07692,                0.00016,                  4e-05,                 4.2981,                 5.5996,                 4.1221,               0.071077,               0.002077,               0.002077
                      2,                 4.4131,                 4.8471,                 4.3027,                0.00026,                0.07692,                0.00016,                  4e-05,                  4.267,                 4.2445,                 4.1007,               0.054598,               0.001598,               0.001598
